Designator,Mid X,Mid Y,Rotation,Layer
AUDIO1,125.934534,-122.566467,270.0,top
C1,86.97,-102.8177,90.0,top
C10,118.62,-53.56,0.0,top
C100,84.02,-120.07,270.0,top
C101,111.75,-123.58,270.0,top
C102,61.94,-134.65,90.0,top
C103,110.68,-123.56,270.0,top
C104,63.19,-134.65,90.0,top
C105,44.525,-66.94,90.0,top
C106,108.7275,-108.93,90.0,top
C107,41.33,-122.89,270.0,top
C108,42.51,-122.92,270.0,top
C109,68.815,-72.64,0.0,top
C11,114.78,-114.36,90.0,top
C110,68.825,-75.17,0.0,top
C111,68.805,-73.99,0.0,top
C112,71.425,-59.09,0.0,top
C113,75.805,-72.68,0.0,top
C114,75.685,-75.2,0.0,top
C115,75.785,-74.05,0.0,top
C116,54.625,-53.89,90.0,top
C119,112.1975,-104.69,90.0,top
C12,69.51,-134.99,90.0,top
C120,111.3275,-104.69,90.0,top
C121,118.9575,-104.53,180.0,top
C13,82.475,-49.89,180.0,top
C14,86.425,-68.74,90.0,top
C15,88.205,-57.2185,0.0,top
C16,88.205,-56.3685,0.0,top
C17,81.975,-68.74,270.0,top
C18,90.285,-57.1385,270.0,top
C19,91.175,-61.44,90.0,top
C2,83.21,-100.4377,90.0,top
C20,91.975,-61.44,90.0,top
C21,79.91,-61.93,180.0,top
C22,89.475,-67.89,270.0,top
C23,81.575,-58.09,135.0,top
C24,81.075,-64.44,270.0,top
C25,91.62,-59.43,0.0,top
C3,90.87,-99.8277,90.0,top
C32,43.475,-63.69,90.0,top
C33,41.225,-63.69,90.0,top
C34,42.275,-63.69,90.0,top
C35,127.65,-113.75,180.0,top
C36,127.65,-114.57,180.0,top
C37,124.05,-113.8,180.0,top
C38,124.05,-114.63,180.0,top
C39,125.85,-114.6,180.0,top
C4,89.58,-110.7777,270.0,top
C40,125.85,-113.79,180.0,top
C41,125.935,-101.595,180.0,top
C42,125.94,-102.41,180.0,top
C43,125.94,-103.22,180.0,top
C44,125.94,-104.04,180.0,top
C45,125.94,-104.84,180.0,top
C46,82.225,-78.29,180.0,top
C47,83.375,-83.79,0.0,top
C48,73.85,-79.65,270.0,top
C49,90.29,-53.49,90.0,top
C5,76.7627,-105.9427,180.0,top
C50,98.225,-70.14,180.0,top
C51,98.225,-69.34,180.0,top
C52,102.925,-72.74,180.0,top
C53,102.925,-71.89,180.0,top
C54,94.525,-68.09,315.0,top
C55,59.825,-57.24,90.0,top
C56,65.36,-126.85,180.0,top
C57,65.0,-131.84,180.0,top
C58,55.87,-139.99,270.0,top
C59,47.65,-136.95,225.0,top
C6,46.86,-118.31,0.0,top
C60,58.775,-57.09,90.0,top
C61,39.57,-131.48,270.0,top
C62,37.84,-123.3,90.0,top
C63,38.02,-117.44,180.0,top
C64,40.03,-116.92,90.0,top
C65,80.23,-119.03,270.0,top
C66,82.89,-117.65,90.0,top
C67,54.545,-74.13,0.0,top
C68,76.7627,-104.9027,180.0,top
C69,111.6875,-114.44,180.0,top
C7,65.8,-127.85,0.0,top
C70,54.495,-75.3,0.0,top
C71,47.425,-59.84,270.0,top
C72,117.27,-78.61,180.0,top
C73,48.175,-70.74,0.0,top
C74,45.175,-71.74,180.0,top
C75,45.275,-70.74,180.0,top
C76,49.525,-62.09,90.0,top
C77,57.275,-59.09,0.0,top
C78,122.57,-80.51,270.0,top
C79,117.8875,-107.48,270.0,top
C8,95.925,-109.416566,270.0,top
C80,99.44,-93.9677,180.0,top
C81,99.44,-116.7977,180.0,top
C82,92.39,-110.27,270.0,top
C83,93.37,-110.27,270.0,top
C84,94.955,-109.406566,270.0,top
C85,64.305,-59.09,0.0,top
C86,49.6325,-125.83,270.0,top
C87,50.6425,-125.33,270.0,top
C88,114.31,-104.63,270.0,top
C89,41.36,-134.14,270.0,top
C9,80.175,-48.9285,270.0,top
C90,44.675,-62.14,90.0,top
C91,61.735,-72.73,0.0,top
C92,61.775,-75.2,0.0,top
C93,61.715,-74.08,0.0,top
C94,54.565,-72.79,0.0,top
C95,44.525,-68.74,90.0,top
C96,123.22,-83.16,180.0,top
C97,61.99,-123.97,270.0,top
C99,82.89,-119.51,270.0,top
D1,59.045,-43.78,270.0,top
